OBJECTID;WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;NO_KEL;NO_KEC;NO_KAB;ID_RT_AR;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;SHAPE.AREA;SHAPE.LEN
34345;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;001;003;1005;08;75;3175081005003001;0,00446061;40 cm;2;YES;nan;2021-06-04 18.00.20;2021-06-04 18:00;4460,614844;274,5556167
34346;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;011;002;1005;08;75;3175081005002011;0,00725819;40 cm;2;YES;nan;2021-06-04 18.00.20;2021-06-04 18:00;7258,19478;342,747495
35774;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;004;011;1001;01;73;3173011001011004;0,02688579;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;26885,78671;709,497137
35775;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;002;010;1001;01;73;3173011001010002;0,04890982;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;48909,81753;1035,111484
35776;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;008;010;1001;01;73;3173011001010008;0,03426088;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;34260,88382;798,6750424
35777;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;006;010;1001;01;73;3173011001010006;0,03356912;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;33569,11638;778,8651891
35778;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;001;010;1001;01;73;3173011001010001;0,04098124;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;40981,23825;984,0598237
35779;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;012;010;1001;01;73;3173011001010012;0,04015388;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;40153,87616;946,5442308
35780;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;001;011;1001;01;73;3173011001011001;0,01679999;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;16799,99356;572,4978523
35781;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;005;011;1001;01;73;3173011001011005;0,02246772;40 cm;2;YES;nan;2022-01-20 0.00.18;2022-01-20 00:00;22467,71887;727,0473027
